step,epoch,loss,ema_loss,grad_norm,learning_rate
1,0.00034338448331366027,0.7376,0.7376,0.9372059106826782,0.0
2,0.0006867689666273205,0.7307,0.7369100000000001,0.8419211506843567,2.5000000000000004e-07
3,0.0010301534499409808,0.8937,0.7525890000000002,0.8602398633956909,5.000000000000001e-07
4,0.001373537933254641,0.7672,0.7540501000000002,0.8045591115951538,7.5e-07
5,0.0017169224165683014,0.7264,0.7512850900000002,1.0732475519180298,1.0000000000000002e-06
6,0.0020603068998819615,0.7581,0.7519665810000002,0.8322855830192566,1.25e-06
7,0.002403691383195622,0.7056,0.7473299229000002,1.0196572542190552,1.5e-06
8,0.002747075866509282,0.6357,0.7361669306100003,0.8067474961280823,1.75e-06
9,0.0030904603498229425,0.7387,0.7364202375490002,0.8125175833702087,2.0000000000000003e-06
10,0.003433844833136603,0.8478,0.7475582137941001,1.2104604244232178,2.25e-06
11,0.0037772293164502627,0.7356,0.7463623924146902,0.8669707179069519,2.5e-06
12,0.004120613799763923,0.7699,0.7487161531732212,0.3524652421474457,2.7500000000000004e-06
13,0.004463998283077583,0.6954,0.7433845378558991,0.43509534001350403,3e-06
14,0.004807382766391244,0.7248,0.7415260840703092,0.31001025438308716,3.2500000000000002e-06
15,0.005150767249704904,0.8283,0.7502034756632783,0.6443323493003845,3.5e-06
16,0.005494151733018564,0.7237,0.7475531280969505,0.31141549348831177,3.7500000000000005e-06
17,0.005837536216332225,0.7282,0.7456178152872555,0.22857333719730377,4.000000000000001e-06
18,0.006180920699645885,0.6466,0.73571603375853,0.23162110149860382,4.25e-06
19,0.006524305182959545,0.6625,0.728394430382677,0.20566138625144958,4.5e-06
20,0.006867689666273206,0.8387,0.7394249873444093,0.3055450916290283,4.75e-06
21,0.007211074149586866,0.6343,0.7289124886099684,0.18453045189380646,5e-06
22,0.007554458632900525,0.7569,0.7317112397489716,0.20622768998146057,5.2500000000000006e-06
23,0.007897843116214186,0.5745,0.7159901157740745,0.21296173334121704,5.500000000000001e-06
24,0.008241227599527846,0.8013,0.724521104196667,0.20752540230751038,5.75e-06
25,0.008584612082841506,0.6553,0.7175989937770003,0.20773343741893768,6e-06
26,0.008927996566155167,0.7022,0.7160590943993004,0.23266619443893433,6.25e-06
27,0.009271381049468827,0.6652,0.7109731849593703,0.22333435714244843,6.5000000000000004e-06
28,0.009614765532782487,0.7429,0.7141658664634333,0.17801393568515778,6.750000000000001e-06
29,0.009958150016096148,0.7717,0.7199192798170899,0.18099038302898407,7e-06
30,0.010301534499409808,0.7608,0.724007351835381,0.22139164805412292,7.25e-06
31,0.010644918982723468,0.7378,0.7253866166518429,0.19404226541519165,7.500000000000001e-06
